,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
113,milk,corn starch,cocoa powder,white sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,black pepper,crushed red pepper flakes,sun-dried tomatoes,penne pasta,olive oil,garlic,grated parmesan cheese,dried parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,olive oil,chopped garlic,canned low sodium chicken broth,salt,fettucine,grated parmesan cheese,pinenuts,fresh basil leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,egg whites,white sugar,sliced almonds,vanilla extract,eggs,baking powder,dried cranberries,baking soda,all-purpose flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,black pepper,grated parmesan cheese,coarse salt,italian seasoning,olive oil,whole milk,garlic,mozzarella cheese,flour,butter,rigatoni,nutmeg,artichoke hearts,boneless skinless chicken breasts,yellow onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,unsalted butter,fettucine,pancetta,flat leaf parsley,parsnips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,kosher salt,ground black pepper,chopped onion,tomato paste,olive oil,red wine vinegar,whole wheat fettuccine,minced garlic,ground sirloin,fresh basil leaves,tomatoes,eggplant,red wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,fresh marjoram,goat cheese,castellane,red bell pepper,cherry tomatoes,hot Italian sausages,extra-virgin olive oil,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,fresh basil,ground black pepper,chopped fresh thyme,jumbo pasta shells,mozzarella cheese,marinara sauce,garlic,fresh spinach,large eggs,red pepper flakes,parmesan cheese,ricotta cheese,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,chicken breasts,grated parmesan cheese,gluten free blend,black pepper,paprika,egg whites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,salt and ground black pepper,purple onion,fresh basil,red wine vinegar,fresh rosemary,bone in skinless chicken thigh,arugula,figs,cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,water,dry red wine,arborio rice,grated parmesan cheese,onions,sage leaves,olive oil,fresh parsley,dried porcini mushrooms,large garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,egg substitute,butter,plum tomatoes,grated parmesan cheese,cream cheese,artichoke hearts,hot sauce,sliced green onions,pepper,cooking spray,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,large eggs,provolone cheese,arugula,cracked black pepper,ham,fresh basil,salt,Italian bread,butter,balsamic vinaigrette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,kosher salt,dried oregano,ground black pepper,diced tomatoes,extra-virgin olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,black pepper,part-skim mozzarella cheese,extra-virgin olive oil,red bell pepper,pepper,finely chopped fresh parsley,salt,sugar,artichoke hearts,mushrooms,garlic cloves,cider vinegar,asparagus,pitted olives,dried oregano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,fresh chives,grated parmesan cheese,white mushrooms,unsalted butter,salt,plum tomatoes,haricots verts,fresh peas,bow-tie pasta,ground black pepper,half & half,asparagus tips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,dried thyme,finely chopped onion,garlic cloves,water,ground black pepper,salt,red bell pepper,arborio rice,fresh parmesan cheese,vegetable broth,green beans,saffron threads,olive oil,dry white wine,fresh lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,radicchio,fresh lemon juice,penne,extra-virgin olive oil,fresh basil,lemon zest,arugula,mozzarella cheese,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,olive oil,all-purpose flour,salt,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,tomato sauce,part-skim mozzarella cheese,part-skim ricotta cheese,frozen chopped spinach,low-fat cottage cheese,whole wheat lasagna noodles,shredded parmesan cheese,eggs,eggplant,garlic,olive oil,ground black pepper,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,tomatoes,sea salt,olive oil,dry bread crumbs,fresh basil,garlic,jalapeno chilies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,sugar,large eggs,apricots,water,heavy cream,lemon zest,fresh lemon juice,sliced almonds,almond extract,grappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,olive oil,coarse salt,all purpose unbleached flour,red bell pepper,mozzarella cheese,dry yeast,chopped fresh thyme,purple onion,honey,grated parmesan cheese,large garlic cloves,all-purpose flour,warm water,prosciutto,balsamic vinegar,worcestershire sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,amaretti,fresh lemon juice,vanilla extract,balsamic vinegar,frozen strawberries,sugar,strawberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,grated parmesan cheese,bow-tie pasta,cooked ham,red pepper,freshly ground pepper,Alfredo sauce,chopped fresh sage,olive oil,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,pasta sauce,crushed tomatoes,marinara sauce,garlic,ground beef,green bell pepper,kosher salt,grated parmesan cheese,parsley,thyme,oregano,tomato paste,white wine,parmesan cheese,cheese slices,yellow onion,spaghetti,bread,sugar,olive oil,bay leaves,crushed red pepper,fresh parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,romano cheese,ground black pepper,garlic cloves,sundried tomato paste,olive oil,dry white wine,sliced green onions,fava beans,morel,salt,arborio rice,fat free less sodium chicken broth,leeks,boiling water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,extra-virgin olive oil,salt,cannellini beans,chopped fresh sage,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1% low-fat cottage cheese,salt,frozen chopped spinach,ground nutmeg,feta cheese crumbles,dried basil,garlic cloves,pasta,marinara sauce,fresh parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,pork belly,crushed red pepper flakes,fresh rosemary,orange,fennel seeds,kosher salt,garlic cloves,fresh sage,pork loin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,arborio rice,pinenuts,butter,white wine,sliced black olives,onions,reduced sodium chicken broth,ground black pepper,medium shrimp,red chili peppers,olive oil,carrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,parmigiano-reggiano cheese,worcestershire sauce,garlic cloves,water,salt,fresh mint,baguette,extra-virgin olive oil,fresh lemon juice,eggs,ground black pepper,anchovy fillets,arugula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,vegetable oil,crushed red pepper flakes,chicken legs,garlic,water,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,grape tomatoes,basil,shredded parmesan cheese,baby spinach,garlic,freshly ground pepper,olive oil,linguine,white beans,butter,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,eggs,crushed tomatoes,parmigiano reggiano cheese,freshly ground pepper,flat leaf parsley,bread crumb fresh,olive oil,yellow onion,juice,ground beef,fresh basil,milk,ground pork,garlic cloves,romana,kosher salt,prosciutto,fresh oregano,gnocchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,olive oil,whole milk ricotta cheese,grated parmesan cheese,large eggs,grated nutmeg,flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,extra-virgin olive oil,red pepper flakes,feta cheese crumbles,cannellini beans,garlic,diced tomatoes,chopped cilantro fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,butter,fresh mushrooms,cooked ham,linguine,fresh basil leaves,ground black pepper,garlic,whipping cream,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,powdered sugar,large eggs,salt,mascarpone,whole milk ricotta cheese,grated lemon peel,sugar,whole milk,all-purpose flour,unsalted butter,vegetable oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,lasagna noodles,ricotta cheese,salt,onions,tomato sauce,fresh thyme,red pepper flakes,shredded mozzarella cheese,zucchini,baby spinach,fresh oregano,eggplant,crimini mushrooms,garlic,red bell pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,ground black pepper,salt,olive oil,navel oranges,lemon juice,kalamata,bow-tie pasta,sea scallops,purple onion,chopped fresh mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,sugar,egg whites,ladyfingers,reduced fat cream cheese,whipped topping,kahlúa,water,unsweetened cocoa powder,powdered sugar,instant espresso granules,hot water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,pepper,boneless skinless chicken breasts,salt,wine,olive oil,linguine,fresh parsley,crushed tomatoes,butter,all-purpose flour,sugar,parmesan cheese,garlic,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,cannellini beans,pasta sauce,sliced black olives,boneless skinless chicken breast halves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,grated parmesan cheese,fettucine,all-purpose flour,butter,milk,frozen broccoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,baby spinach leaves,large eggs,crushed red pepper,nonfat ricotta cheese,large egg whites,mushrooms,salt,black pepper,cooking spray,purple onion,plum tomatoes,fresh basil,olive oil,balsamic vinegar,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,tomatoes,salt,ground black pepper,fresh parsley,shells,large shrimp,olive oil,lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,grated parmesan cheese,salt,vegetable oil cooking spray,chicken breasts,reduced-fat cheese,egg whites,all-purpose flour,pepper,cornflake cereal,italian seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,eggs,crushed tomatoes,bay leaves,salt,tomato paste,romano cheese,olive oil,garlic,onions,ground cinnamon,pepper,beef brisket,dry pasta,dried parsley,white bread,pork,dried basil,red wine,sweet italian sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,grated lemon zest,prosecco,fresh lemon juice,sugar,fresh raspberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,prosciutto,arugula,bread dough,gruyere cheese,fresh parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,olive oil,vegetable broth,carrots,water,bacon slices,garlic cloves,sage leaves,ground black pepper,salt,baby lima beans,bay leaves,chopped onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,whipped cream,hot cocoa mix,brewed coffee,fat free milk,unsweetened cocoa powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,olive oil,abbamele,wild mushrooms,kosher salt,dry white wine,chopped walnuts,fat free less sodium chicken broth,chopped fresh chives,goat cheese,water,shallots,fregola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,olive oil,flat leaf parsley,haricots verts,anchovy fillets,savoy cabbage,grated parmesan cheese,spaghetti,capers,garlic cloves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,arborio rice,mushroom caps,bacon slices,fat free less sodium chicken broth,shallots,fresh parsley,black pepper,cooked chicken,salt,fresh parmesan cheese,butter,pinot grigio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,fresh sage,cannellini beans,onions,prosciutto,carrots,parmesan cheese,extra-virgin olive oil,celery ribs,grated parmesan cheese,low salt chicken broth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,vanilla extract,white sugar,baking powder,margarine,liquid egg substitute,chocolate candy bars,olive oil,all-purpose flour,unsweetened cocoa powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,white bread,shredded mozzarella cheese,unsalted butter,garlic powder,dried oregano,marinara sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,mozzarella cheese,cooked rice,eggs,olive oil,bread crumbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,pepper,white wine vinegar,ham,cherry tomatoes,purple onion,banana peppers,mozzarella cheese,black olives,garlic cloves,dried oregano,olive oil,salt,lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,ground cinnamon,honey,raisins,toasted walnuts,orange,dark rum,salt,dried fig,eggs,unsalted butter,vanilla extract,white sugar,milk,baking powder,all-purpose flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,egg substitute,chicken breast halves,pasta sauce,part-skim mozzarella cheese,spaghetti,olive oil,fresh parsley,seasoned bread crumbs,grated parmesan cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,chopped parsley,grated parmesan cheese,unsalted butter,gnocchi,chopped fresh chives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,dijon mustard,ground white pepper,soft goat's cheese,ricotta cheese,truffle oil,hazelnuts,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,unsalted butter,all-purpose flour,capers,vegetable oil,dry white wine,flat leaf parsley,veal scallopini,lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,shredded mozzarella cheese,water,spaghetti,pasta,elbow macaroni,diced tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,bread flour,bread yeast,warm water,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,olive oil,red potato,vegan parmesan cheese,garlic,fresh chives,dried oregano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,saffron threads,minced garlic,ground black pepper,chopped onion,fat free less sodium chicken broth,fresh parmesan cheese,crushed red pepper,plum tomatoes,arborio rice,olive oil,dry white wine,flat leaf parsley,cremini mushrooms,sea scallops,butter,medium shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,ahi,french bread,olive oil,onions,capers,ground black pepper,kosher salt,fresh lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,golden brown sugar,anjou pears,all purpose unbleached flour,fresh lemon juice,granny smith apples,crystallized ginger,ice water,salt,honey,unsalted butter,vegetable shortening,chinese five-spice powder,sugar,whole wheat flour,large eggs,whipping cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,parmigiano-reggiano cheese,water,truffle oil,salt,onions,fat free less sodium chicken broth,large egg yolks,chopped fresh thyme,garlic cloves,tomato paste,kosher salt,ground black pepper,extra-virgin olive oil,flat leaf parsley,cremini mushrooms,olive oil,mushrooms,all-purpose flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,olive oil,lean ground beef,fresh oregano,sausage links,whole peeled tomatoes,salt,spaghetti,tomato sauce,ground black pepper,garlic,bay leaf,dried basil,grated parmesan cheese,yellow onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,olive oil,garlic,italian seasoning,pepper,dry red wine,onions,tomato sauce,mushrooms,sweet italian sausage,pork chops,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,rosemary,mascarpone,freshly ground pepper,sugar,honey,extra-virgin olive oil,nectarines,peasant bread,sweet cherries,salt,orange zest,lavender buds,apricot halves,fresh lemon juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,tomatoes,salt,onions,extra-virgin olive oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,white onion,diced tomatoes in juice,zucchini,olive oil,italian seasoning,sugar,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,pinenuts,scallions,asparagus,cherry tomatoes,italian salad dressing,short pasta,shredded parmesan cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,large garlic cloves,ground black pepper,arugula,parmesan cheese,extra-virgin olive oil,lemon wedge,porterhouse steaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,black pepper,cannellini beans,red bell pepper,spinach,part-skim mozzarella cheese,salt,onions,olive oil,diced tomatoes,celery,rosemary sprigs,zucchini,garlic cloves,dried oregano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,ground cinnamon,1% low-fat milk,saffron threads,golden raisins,cinnamon sticks,sugar,salt,arborio rice,vanilla extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,sausage casings,broccolini,red pepper flakes,onions,pasta,white wine,salted butter,fresh lemon juice,black pepper,olive oil,garlic,chicken stock,kosher salt,fresh parmesan cheese,flat leaf parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,butter,unsweetened cocoa powder,coffee granules,all-purpose flour,half & half,confectioners sugar,vanilla extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,minced garlic,diced tomatoes,lemon rind,baby portobello mushrooms,cooking spray,purple onion,olive oil,basil,diced celery,grated parmesan cheese,crushed red pepper,carrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,pinenuts,large garlic cloves,grated parmesan cheese,crushed red pepper,broccoli florets,orecchiette,olive oil,white wine vinegar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,olive oil,linguine,fresh lemon juice,fat free less sodium chicken broth,butter,grated lemon zest,fresh parsley,pinenuts,cracked black pepper,garlic cloves,dry white wine,salt,medium shrimp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,melted butter,potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,bread,chopped fresh thyme,chicken cutlets,garlic cloves,olive oil,purple onion,balsamic vinegar,arugula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,grated parmesan cheese,fontina,pizza shells,sausage casings,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"frozen mixed thawed vegetables,",ragu old world style pasta sauc,fettucine,loosely packed fresh basil leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,asparagus,whole wheat spaghetti,all-purpose flour,truffle oil,1% low-fat milk,garlic cloves,parmigiano reggiano cheese,butter,cream cheese,ground black pepper,cooking spray,salt,spaghetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,fresh parmesan cheese,bacon slices,olive oil,butternut squash,salt,ground black pepper,purple onion,swiss chard,castellane,chopped fresh sage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,pasta sauce,wonton wrappers,parmesan cheese,mozzarella cheese,ricotta cheese,meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,ground black pepper,pear tomatoes,thyme sprigs,kosher salt,dry white wine,white wine vinegar,fresh rosemary,unsalted butter,extra-virgin olive oil,gaeta olives,yukon gold potatoes,turbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,pesto,arugula,sun-dried tomatoes,pinenuts,whole wheat pasta,goat cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,tomato sauce,extra-virgin olive oil,grated parmesan cheese,red bell pepper,mozzarella cheese,ricotta,pasta,broccoli florets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,marinara sauce,goat cheese,minced garlic,salt,ground lamb,roasted red peppers,chopped onion,black pepper,refrigerated pizza dough,italian seasoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,potato gnocchi,grated parmesan cheese,whipping cream,dried porcini mushrooms,butter,marinara sauce,boiling water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,tomatoes,unsalted butter,extra-virgin olive oil,spaghetti,white wine,grated parmesan cheese,carrots,pancetta,cream,coarse salt,ground beef,celery ribs,ground black pepper,crushed red pepper flakes,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,angel hair,Alfredo sauce,italian salad dressing,ground black pepper,broccoli,lime juice,chicken breasts,olive oil,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,gelato,unsalted butter,cherry preserves,honey,pistachios,bittersweet chocolate,amaretto liqueur,cherries,heavy whipping cream,instant espresso powder,whipped cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,eggs,all-purpose flour,nuts,unsalted butter,heavy whipping cream,brown sugar,pie shell,vanilla extract,white sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,pancetta,flour,fresh parsley,pepper,heavy cream,marsala wine,chicken cutlets,olive oil,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,mascarpone,pizza crust,cheese,basil leaves,cherry tomatoes,garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,crushed tomatoes,salt,dried oregano,potatoes,anchovy fillets,water,cake,onions,olive oil,all-purpose flour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,black pepper,dry white wine,prosciutto,provolone cheese,olive oil,salt,frozen chopped spinach,grated parmesan cheese,boneless skinless chicken breast halves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,tomatoes,olive oil,ricotta cheese,crushed red pepper,shrimp,eggs,lasagna noodles,chopped fresh thyme,chopped onion,onions,minced garlic,bay leaves,whipping cream,provolone cheese,dried oregano,fresh basil,grated parmesan cheese,red wine vinegar,crabmeat,plum tomatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,kosher salt,pecorino romano cheese,garlic,ground black pepper,dry red wine,chopped fresh herbs,crushed tomatoes,button mushrooms,escarole,penne,basil leaves,extra-virgin olive oil,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,mascarpone,butter,chopped pecans,sugar,large eggs,vanilla extract,chocolate bars,coffee liqueur,all-purpose flour,brewed coffee,whipping cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,extra-virgin olive oil,flat anchovy,italian loaf,broccoli rabe,garlic cloves,provolone cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,capers,unsalted butter,yellow onion,pinot grigio,pepper,flour,fresh lemon juice,kosher salt,grated parmesan cheese,garlic cloves,angel hair,olive oil,salt,boneless skinless chicken breast halves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,salad dressing,cheddar cheese,pitted black olives,rotini,frozen mixed vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
